"Indicator Name","Indicator Code","Country Name","Country Code","Year","Value","Disaggregation"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Eastern and Southern","AFE","2019","3.751","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Eastern and Southern","AFE","2018","3.743","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Eastern and Southern","AFE","2017","3.807","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Eastern and Southern","AFE","2016","3.962","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Eastern and Southern","AFE","2015","4.044","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Eastern and Southern","AFE","2014","4.138","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Eastern and Southern","AFE","2013","4.248","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Eastern and Southern","AFE","2012","4.450","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Eastern and Southern","AFE","2011","4.766","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Eastern and Southern","AFE","2010","5.079","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Eastern and Southern","AFE","2009","5.357","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Eastern and Southern","AFE","2008","5.439","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Eastern and Southern","AFE","2007","5.257","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Eastern and Southern","AFE","2006","5.257","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Eastern and Southern","AFE","2005","5.315","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Eastern and Southern","AFE","2004","5.422","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Eastern and Southern","AFE","2003","5.548","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Eastern and Southern","AFE","2002","5.585","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Eastern and Southern","AFE","2001","5.640","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Eastern and Southern","AFE","2000","5.827","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Western and Central","AFW","2019","2.677","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Western and Central","AFW","2018","2.726","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Western and Central","AFW","2017","2.766","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Western and Central","AFW","2016","2.817","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Western and Central","AFW","2015","2.878","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Western and Central","AFW","2014","2.998","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Western and Central","AFW","2013","3.106","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Western and Central","AFW","2012","3.124","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Western and Central","AFW","2011","3.192","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Western and Central","AFW","2010","3.309","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Western and Central","AFW","2009","3.350","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Western and Central","AFW","2008","3.373","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Western and Central","AFW","2007","3.472","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Western and Central","AFW","2006","3.553","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Western and Central","AFW","2005","3.504","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Western and Central","AFW","2004","3.552","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Western and Central","AFW","2003","3.556","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Western and Central","AFW","2002","3.618","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Western and Central","AFW","2001","3.674","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Africa Western and Central","AFW","2000","3.723","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Arab World","ARB","2019","2.479","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Arab World","ARB","2018","2.522","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Arab World","ARB","2017","2.537","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Arab World","ARB","2016","2.582","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Arab World","ARB","2015","2.650","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Arab World","ARB","2014","2.667","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Arab World","ARB","2013","2.731","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Arab World","ARB","2012","2.805","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Arab World","ARB","2011","2.803","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Arab World","ARB","2010","2.827","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Arab World","ARB","2009","2.821","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Arab World","ARB","2008","2.834","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Arab World","ARB","2007","2.865","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Arab World","ARB","2006","2.913","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Arab World","ARB","2005","2.976","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Arab World","ARB","2004","3.007","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Arab World","ARB","2003","3.055","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Arab World","ARB","2002","3.128","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Arab World","ARB","2001","3.181","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Arab World","ARB","2000","3.232","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Caribbean small states","CSS","2019","7.645","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Caribbean small states","CSS","2018","7.512","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Caribbean small states","CSS","2017","7.240","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Caribbean small states","CSS","2016","7.216","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Caribbean small states","CSS","2015","7.149","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Caribbean small states","CSS","2014","6.533","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Caribbean small states","CSS","2013","7.414","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Caribbean small states","CSS","2012","7.115","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Caribbean small states","CSS","2011","6.720","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Caribbean small states","CSS","2010","7.009","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Caribbean small states","CSS","2009","7.834","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Caribbean small states","CSS","2008","6.691","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Caribbean small states","CSS","2007","6.816","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Caribbean small states","CSS","2006","6.875","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Caribbean small states","CSS","2005","6.851","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Caribbean small states","CSS","2004","7.065","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Caribbean small states","CSS","2003","7.225","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Caribbean small states","CSS","2002","6.566","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Caribbean small states","CSS","2001","7.111","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Caribbean small states","CSS","2000","6.666","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Central Europe and the Baltics","CEB","2019","4.522","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Central Europe and the Baltics","CEB","2018","4.489","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Central Europe and the Baltics","CEB","2017","4.871","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Central Europe and the Baltics","CEB","2016","4.740","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Central Europe and the Baltics","CEB","2015","5.259","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Central Europe and the Baltics","CEB","2014","5.405","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Central Europe and the Baltics","CEB","2013","5.596","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Central Europe and the Baltics","CEB","2012","5.705","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Central Europe and the Baltics","CEB","2011","5.621","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Central Europe and the Baltics","CEB","2010","5.931","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Central Europe and the Baltics","CEB","2009","5.926","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Central Europe and the Baltics","CEB","2008","6.003","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Central Europe and the Baltics","CEB","2007","5.907","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Central Europe and the Baltics","CEB","2006","6.234","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Central Europe and the Baltics","CEB","2005","6.489","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Central Europe and the Baltics","CEB","2004","6.722","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Central Europe and the Baltics","CEB","2003","6.779","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Central Europe and the Baltics","CEB","2002","7.086","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Central Europe and the Baltics","CEB","2001","6.851","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Central Europe and the Baltics","CEB","2000","7.815","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Early-demographic dividend","EAR","2019","6.081","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Early-demographic dividend","EAR","2018","6.061","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Early-demographic dividend","EAR","2017","5.889","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Early-demographic dividend","EAR","2016","5.966","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Early-demographic dividend","EAR","2015","6.091","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Early-demographic dividend","EAR","2014","6.207","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Early-demographic dividend","EAR","2013","6.545","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Early-demographic dividend","EAR","2012","6.765","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Early-demographic dividend","EAR","2011","7.072","female"
