"Table 10.  First Semester Income Gap, Poverty Gap and Severity of Poverty with Measures of Precision, by Region and Province: 2018u and 2021",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,First Semester Income Gap,,,,,,,,First Semester Poverty Gap,,,,,,,,First Semester Severity of Poverty,,,,,,,
,Estimate (%),,Standard Error,,90% Confidence Interval (Lower limit),,90% Confidence Interval (Upper limit),,Estimate (%),,Standard Error,,90% Confidence Interval (Lower limit),,90% Confidence Interval (Upper limit),,Estimate (%),,Standard Error,,90% Confidence Interval (Lower limit),,90% Confidence Interval (Upper limit),
NAME_1,2018u,2021,2018u,2021,2018u,2021,2018u,2021,2018u,2021,2018u,2021,2018u,2021,2018u,2021,2018u,2021,2018u,2021,2018u,2021,2018u,2021
PHILIPPINES,27.0,27.0,0.2,0.2,26.7,26.7,27.3,27.3,4.4,4.9,0.1,0.1,4.3,4.7,4.5,5.0,1.8,1.9,0.0,0.0,1.7,1.9,1.9,2.0
 1st District,30.3,11.5,2.3,2.0,26.6,8.2,34.0,14.8,1.7,0.2,0.3,0.1,1.2,0.1,2.3,0.3,0.9,0.0,0.2,0.0,0.6,0.0,1.2,0.1
 2nd District,24.7,18.2,2.3,1.4,20.9,15.9,28.4,20.6,0.9,0.7,0.1,0.1,0.6,0.6,1.1,0.8,0.4,0.2,0.1,0.0,0.2,0.2,0.5,0.3
 3rd District,27.6,19.7,1.3,1.0,25.4,18.0,29.7,21.3,2.2,1.6,0.2,0.2,1.9,1.3,2.6,1.8,1.0,0.5,0.1,0.1,0.8,0.4,1.2,0.6
 4th District,26.3,22.8,1.5,0.9,23.8,21.3,28.8,24.3,1.0,1.4,0.1,0.1,0.9,1.2,1.2,1.6,0.5,0.5,0.1,0.1,0.4,0.4,0.6,0.6
 Abra,33.8,26.3,1.2,1.3,31.9,24.2,35.8,28.5,10.0,5.7,0.7,0.6,8.8,4.7,11.2,6.6,4.8,2.3,0.4,0.3,4.1,1.8,5.5,2.8
 Apayao,33.0,24.5,2.2,2.1,29.3,21.1,36.7,27.9,7.7,3.1,1.3,0.7,5.5,1.9,9.8,4.2,3.4,1.1,0.7,0.3,2.2,0.7,4.5,1.6
 Benguet,27.8,28.7,1.7,1.6,25.0,26.1,30.6,31.3,1.7,2.2,0.2,0.2,1.3,1.8,2.0,2.5,0.7,0.9,0.1,0.1,0.5,0.7,0.9,1.1
 Ifugao,23.8,26.6,1.3,1.6,21.6,24.0,26.0,29.1,3.7,3.6,0.5,0.6,2.8,2.6,4.6,4.7,1.3,1.5,0.2,0.3,0.9,1.0,1.6,1.9
 Kalinga,23.9,22.3,1.5,1.3,21.4,20.2,26.4,24.5,2.9,2.7,0.4,0.4,2.3,2.0,3.5,3.4,1.0,0.9,0.2,0.2,0.7,0.6,1.3,1.2
 Mt. Province,28.3,27.6,1.1,1.4,26.5,25.3,30.1,29.9,6.9,6.3,0.7,0.8,5.8,4.9,8.0,7.6,2.9,2.5,0.3,0.4,2.4,1.8,3.4,3.2
 Ilocos Norte,17.4,17.3,2.9,1.1,12.5,15.5,22.2,19.0,1.0,1.1,0.3,0.2,0.5,0.7,1.4,1.5,0.3,0.3,0.1,0.1,0.1,0.2,0.5,0.4
 Ilocos Sur,17.8,24.1,1.4,1.0,15.6,22.5,20.0,25.8,1.6,4.3,0.2,0.4,1.2,3.6,2.0,5.0,0.5,1.5,0.1,0.2,0.3,1.2,0.6,1.8
 La Union,18.3,20.0,1.8,1.0,15.3,18.2,21.3,21.7,0.7,2.1,0.2,0.3,0.4,1.7,0.9,2.6,0.2,0.7,0.1,0.1,0.1,0.5,0.3,0.9
 Pangasinan,20.1,24.2,1.2,1.3,18.1,22.1,22.0,26.3,2.1,4.5,0.3,0.5,1.7,3.7,2.6,5.3,0.7,1.8,0.1,0.2,0.5,1.4,0.9,2.1
 Batanes,29.1,26.4,3.8,3.1,22.8,21.3,35.4,31.5,3.9,2.0,0.6,0.6,2.9,1.0,4.9,2.9,1.8,0.7,0.4,0.3,1.1,0.3,2.4,1.1
 Cagayan,25.6,22.8,1.3,1.1,23.4,21.1,27.7,24.5,3.9,2.9,0.4,0.4,3.2,2.3,4.5,3.6,1.5,1.0,0.2,0.1,1.2,0.7,1.8,1.2
 Isabela,23.3,27.2,1.2,1.3,21.3,25.1,25.3,29.2,3.6,5.6,0.4,0.7,3.0,4.5,4.3,6.8,1.3,2.3,0.2,0.4,1.0,1.7,1.6,2.9
 Nueva Vizcaya,26.4,28.4,1.3,2.1,24.3,24.9,28.5,31.9,4.5,3.6,0.5,0.7,3.6,2.6,5.4,4.7,1.8,1.5,0.3,0.3,1.4,1.0,2.3,2.1
 Quirino,18.8,22.0,1.5,1.4,16.4,19.8,21.3,24.2,1.9,2.5,0.3,0.3,1.4,2.0,2.3,3.0,0.5,0.9,0.1,0.1,0.4,0.6,0.7,1.1
 Aurora,25.1,25.9,1.2,1.1,23.1,24.1,27.1,27.6,4.2,6.2,0.5,0.7,3.4,5.1,5.0,7.3,1.7,2.3,0.2,0.3,1.3,1.8,2.0,2.8
 Bataan,26.9,23.5,1.8,1.3,24.0,21.3,29.8,25.7,3.1,3.0,0.4,0.3,2.5,2.5,3.7,3.5,1.3,1.1,0.2,0.2,1.0,0.9,1.6,1.4
 Bulacan,23.2,24.6,2.6,1.2,18.9,22.7,27.4,26.6,1.1,3.7,0.2,0.4,0.8,3.0,1.5,4.4,0.5,1.4,0.1,0.2,0.3,1.0,0.7,1.7
 Nueva Ecija,22.7,23.2,1.5,1.5,20.4,20.7,25.1,25.8,2.4,4.0,0.3,0.6,1.8,3.0,2.9,4.9,0.9,1.4,0.1,0.3,0.6,0.9,1.1,1.8
 Pampanga,20.3,17.2,1.9,1.3,17.2,15.2,23.4,19.3,0.7,1.1,0.2,0.1,0.4,0.8,1.0,1.3,0.3,0.3,0.1,0.1,0.1,0.2,0.4,0.4
 Tarlac,22.8,23.0,1.7,1.2,19.9,21.1,25.6,25.0,2.4,3.0,0.3,0.3,1.9,2.5,2.8,3.5,0.8,1.1,0.1,0.1,0.6,0.9,1.1,1.3
 Zambales,27.2,25.0,1.2,1.1,25.2,23.2,29.2,26.8,4.5,5.5,0.5,0.4,3.8,4.8,5.3,6.2,1.9,2.1,0.3,0.2,1.5,1.8,2.4,2.4
 Batangas,22.9,19.2,1.3,1.6,20.7,16.6,25.0,21.8,3.0,1.3,0.4,0.2,2.4,1.0,3.6,1.7,1.0,0.4,0.2,0.1,0.8,0.3,1.3,0.5
 Cavite,24.4,20.7,2.2,1.4,20.8,18.4,28.0,23.0,1.5,2.2,0.3,0.3,1.1,1.8,1.9,2.7,0.6,0.7,0.1,0.1,0.4,0.5,0.8,1.0
 Laguna,25.0,23.1,4.1,1.9,18.3,20.0,31.7,26.2,1.3,2.3,0.3,0.4,0.7,1.6,1.8,3.0,0.6,0.9,0.2,0.2,0.2,0.5,0.9,1.2
 Quezon,22.2,25.4,1.3,1.2,20.0,23.5,24.4,27.4,2.8,5.6,0.4,0.6,2.1,4.6,3.4,6.6,1.0,2.1,0.2,0.3,0.8,1.6,1.3,2.5
 Rizal,25.1,23.3,2.9,1.7,20.4,20.4,29.9,26.1,1.2,1.4,0.3,0.2,0.8,1.0,1.6,1.8,0.5,0.5,0.1,0.1,0.3,0.3,0.7,0.7
 Marinduque,23.2,23.7,1.2,1.1,21.1,21.9,25.2,25.5,3.3,4.4,0.4,0.4,2.7,3.7,3.9,5.2,1.2,1.5,0.2,0.2,0.9,1.2,1.5,1.8
 Occidental Mindoro,25.7,28.8,1.7,1.1,23.0,27.1,28.4,30.6,5.7,7.2,0.7,0.8,4.5,5.9,6.9,8.4,2.3,2.9,0.4,0.3,1.6,2.3,2.9,3.5
 Oriental Mindoro,25.5,26.7,1.7,1.8,22.7,23.7,28.4,29.7,3.3,4.4,0.5,0.7,2.5,3.3,4.1,5.5,1.4,1.7,0.2,0.3,1.0,1.2,1.8,2.3
 Palawan,22.6,26.0,1.8,1.3,19.7,23.9,25.6,28.1,2.6,4.2,0.4,0.5,1.9,3.3,3.2,5.0,1.0,1.6,0.2,0.2,0.6,1.2,1.3,2.0
 Romblon,24.0,24.6,1.1,1.0,22.3,23.0,25.7,26.2,5.8,7.9,0.6,0.6,4.9,6.9,6.8,8.9,2.1,2.7,0.3,0.3,1.6,2.3,2.5,3.2
 Albay,21.7,25.2,1.1,1.2,20.0,23.2,23.5,27.2,3.5,4.7,0.4,0.5,2.9,3.8,4.1,5.6,1.2,1.7,0.2,0.2,0.9,1.3,1.4,2.1
 Camarines Norte,25.6,24.1,1.2,1.0,23.6,22.5,27.6,25.8,6.4,5.1,0.6,0.5,5.5,4.2,7.3,5.9,2.5,1.9,0.3,0.2,2.0,1.5,2.9,2.2
